"type","date","summary","link","critical","non_critical","hall"
"Standard/Critical Control Point Inspection","9-Apr-2025","2 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=7F9A5E94A050D1B785258C67005A1831","
3717-1-06.4(K) / Controlling pests.Critical Repeat   Presence of live insects, rodents, and other pests.
-Observed small flies in facility, primarily near the three compartment sinks in the main kitchen.
-PIC reports they have been cleaning the floor drains more frequently to reduce fly presence.
-Discussed cleaning in relation to pest control. 
 3717-1-03.2(U) / Food display - preventing contamination by consumers.Critical Repeat Corrected During Inspection Food display not properly protected from contamination by consumers.
-Observed a plate of uncovered bread on top of the serving line.
-PIC had an employee move the bread behind a sneeze guard. 
","

","Stevenson Dining Hall"
"Complaint Inspection","6-Feb-2025","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A360B649C0F5149185258C2900590072","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","8-Oct-2024","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=6F6EE836BC2B5F3485258BB00050B0A4","
3717-1-06.4(K) / Controlling pests.Critical Repeat   Presence of live insects, rodents, and other pests.
-Observed small flies on the second floor in both the kitchen and service areas.
-Contact a licensed pest control company to abate the issue. 
","
 3717-1-03.2(Y) / Miscellaneous sources of contamination.  Corrected During Inspection Food not protected from contamination.
-Observed a dead, small fly in the cottage cheese along the serving line.
-PIC voluntarily discarded the cottage cheese.
-Discussed keeping food items covered to prevent contamination. 
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","16-Apr-2024","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=3E29D34D0120C1EC85258B01004BBAA6","
 3717-1-03.2(U) / Food display - preventing contamination by consumers.Critical  Corrected During Inspection Food display not properly protected from contamination by consumers.
-Observed uncovered bagels on the serving line.
-PIC added a cover to the bagels.
-Ensure all food items left for consumer self service are properly protected from contamination. 
","
3717-1-03.4(C) / Thawing - temperature and time control.  Corrected During Inspection TCS foods not properly thawed.
-Observed ROP fish thawing in a reach in cooler and walk in cooler without the ROP packaging being cut open.
-PIC instructed an employee to cut open the ROP packaging on the fish.
-Ensure all ROP fish products are either removed from the ROP packaging while thawing, or the packaging is cut open to allow oxygen into the environment. 
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","25-Oct-2023","2 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D2A53AA012E67AAA85258A530056A218","
3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food not properly discarded when required.
-Observed humus and house made ranch with expired date marks.
-PIC voluntarily discarded the expired food items. 
 3717-1-06.4(K) / Controlling pests.Critical    Presence of live insects, rodents, and other pests.
-Observed small flies in the main kitchen area and beverage stations.
-Contact a licensed pest control company to abate the issue. 
","
 3717-1-04.4(A)(2) / Equipment components kept intact, tight, and adjusted Repeat   Equipment components are not intact, tight or properly adjusted.
-Observed broken gaskets on the service side of a pass through warmer.
-Repair the gaskets. 
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","19-Apr-2023","1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=11D16655BD30A740852589960069165B","
3717-1-03.4(I)(2) / Time as a public health control - four hour time limitCritical  Corrected During Inspection Improper use of time as a public health control (4 hours).
-Observed half & half and milk stored in the beverage area without time stamps.
-PIC voluntarily discarded of products.
-Ensure TCS foods are either stored under temperature control, or time stamped for four hours and discarded afterwards. 
","
 3717-1-04.4(A)(2) / Equipment components kept intact, tight, and adjusted    Equipment components are not intact, tight or properly adjusted.
-Observed the gasket on a warming cabinet to be broken.
-Cabinet was maintaining proper temperature.
-Repair or replace the gasket. 
 3717-1-04.2(H)(2) / Temperature measuring devices - mechanical warewashing.    Irreversible registering temperature indicator not readily accessible for hot water mechanical warewashing operations.
-Observed the thermometer for the high temperature mechanical warewashing machine to be displaying a temperature of 155*F.
-Obtain a new high temperature thermometer to ensure the mechanical warewashing machine is working appropriately.  
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","26-Oct-2022","1 critical & 3 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=4A4BFD50E8130D44852588E7005F6A0F","
 3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical  Corrected During Inspection Food contact surfaces not easily cleanable.
-Observed mulitiple cracked and broken plastic tubs stored with clean equipment in the dishwashing area of the kitchen.
-Observed the can opener blade in the downstairs salad room to be rusty.
-PIC had all the broken tubs and the can opener removed from service. 
","
3717-1-03.2(R) / Food storage - prohibited areas.    Food stored in prohibited area.
-Observed food stored in a locker room. 
-Food may not be stored: 
(1) In locker rooms; 
(2) In toilet rooms; 
(3) In dressing rooms; 
(4) In garbage rooms; 
(5) In mechanical rooms; 
(6) Under sewer lines that are not shielded to intercept potential drips; 
(7) Under leaking water lines, including leaking automatic fire sprinkler heads, or under lines on which water has condensed; 
(8) Under open stairwells; or 
(9) Under other sources of contamination.  
 3717-1-04.8(E)(1) / Equipment, utensils, linens - storage.  Corrected During Inspection -Obsered water pooled in a large serving spoon that was stored with clean dishes. 
-Observed ice buckets not stored in an inverted position.
-PIC hung the ice buckets and took the serving spoon to be rewashed. 
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Non-food contact surfaces of equipment are unclean.
-Observed old food residue on the guard of the stand mixer.
-Ensure the nonfood contact surfaces of equipment are cleaned more frequently. 
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","20-Apr-2022","2 critical & 5 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=0C4BB34688589A5F8525882A0066D7C2","
3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical  Corrected During Inspection Equipment food-contact surfaces or utensils are unclean.
-Observed old food debris on various cleaned utensils in the salad prep room.
-PIC immediately took the entire container of utensils to be rewashed. 
 3717-1-03.4(G) / Ready-to-eat, time/temperature controlled for safety food - date marking.Critical  Corrected During Inspection Refrigerated, ready-to-eat, TCS foods not properly date marked.
-Observed guacamole in the breakfast cooler without a date mark.
-An employee date marked the guacamole during the inspection.  
","
 3717-1-04.2(A) / Equipment - cooling, heating, and holding capacities.    Inadequate equipment available for cooling, heating or holding food.
-Observed a cold holding unit that was not working on the serving line. Ice beneath the pans was being used as a coolant.
-Fix the cooler and discontinue using ice as a coolant or time as a public health control. 
 3717-1-03.2(D) / Food storage containers - identified with common name of food.    Working food containers not properly labeled.
-Observed a container of some type of bread crumbs in the storage room without a label.
-Ensure all food is properly labeled. 
 3717-1-03.2(Y) / Miscellaneous sources of contamination.    Food not protected from contamination.
-Observed an employee transfering food from one container to another that was on the floor.
-Observed a personal drink stored next to food in a cooler in the commissary.
-Observed boxes of produce stored in the locker room. Employee coats were touching the boxes of food.
-The employee was coached to not prep food on the floor. The employee's drink was moved away from food. 
 3717-1-04.2(H)(2) / Temperature measuring devices - mechanical warewashing.    Irreversible registering temperature indicator not readily accessible for hot water mechanical warewashing operations.
-A irreversible registering temperature indicator was not readily accessible for either mechanical warewashing machine.  
 3717-1-04.5(D) / Nonfood-contact surfaces - cleaning frequency.    Non-food contact surface(s) not cleaned at the required frequency.
-Observed significant mildew buildup on the walls in the Longman dishroom.
-Clean the walls in the dishroom. 
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","12-Jan-2022","3 critical & 3 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=CCEA7984C50C92E1852587C8006C4657","
3717-1-02.2 (C ) / Hands and arms: when to washCritical Repeat Corrected During Inspection Food employee(s) did not wash hands when required. Observed employees contaminate hands with mask/clothes or don gloves without washing hands. Ensure hands are properly washed before donning gloves and after contaminated. Discussed with PIC and employees- employees washed hands during inspection.  
 3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature. Observed juice machine maintaining apple juice at 58*F (machine turned off during inspection for employees to voluntarily discard foods), walk in cooler in basement maintaining foods at ~44-44.5*F (tofu, cut honeydew) ambient temperature of walk in ~44*F- foods moved during inspection to functioning cooler.  
 3717-1-03.4(I)(2) / Time as a public health control - four hour time limitCritical  Corrected During Inspection Improper use of time as a public health control (4 hours). Observed foods out at room temperature without time stamps (butter ~68*F (voluntarily discarded), cream cheese ~58*F (time stamped during inspection). Ensure foods out of temperature control are properly time stamped and discarded within the 4 hour time limit.  
","
 3717-1-04.2(I) / Sanitizing solutions - testing devices.    No sanitizer test kit available for high temperature dish washer.  
 3717-1-05.1(S) / Plumbing system - maintained in good repair.    Observed leaking sprayer above 3-bin sink system area- repair leak 
 3717-1-06.3 (C)(1) / Employee accommodations - designated areas    Observed employee drinks kept on prep surface/next to prep sink- ensure that employee items are completely separated from facility equipment/items.  
","Stevenson Dining Hall"
"Follow-up Inspection","25-May-2021","2 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=8CBDCFA5B6A633BE852586E00055EE29","
3717-1-02.2 (C ) / Hands and arms: when to washCritical Repeat Corrected During Inspection Food employee(s) did not wash hands when required. Observed employees touch masks/change tasks without washing hands. Corrected during inspection- suggest using timer method as a teaching tool.  
 3717-1-05.1(D) / Backflow prevention - air gap.Critical Repeat   Insufficient air gap for Biggs prep sink. Correct air break to air gap. 
","
 3717-1-04.4(A)(2) / Equipment components kept intact, tight, and adjusted  Repeat   Repair cooler doors near ice machine and in salad prep room downstairs so that they completely shut without being forced. Repair leak in salad room freezer from fan unit.  
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","4-May-2021","6 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=1F485B81D1C45AAE852586CB0055CFA0","
3717-1-02.2 (C ) / Hands and arms: when to washCritical  Corrected During Inspection Food employee(s) did not wash hands when required. Observed employees changing tasks, touching clothes/ masks without washing hands. Discussed with employees- all employees washed hands during inspection. 
 3717-1-03.2(N)(1) / Gloves - use limitationCritical  Corrected During Inspection Single-use gloves used improperly. Gloves shall be changed anytime they are contaminated/ changing between tasks. Observed employees change task/touch clothing/mask with gloves and proceed to not change gloves until told. Discussed with employees- employees washed hands and changed gloves during inspection. 
 3717-1-04.4(N)(3) / Manual and mechanical warewashing equipment, chemical sanitization (quaternary ammonium) - temp., pH, concentration, and hardnessCritical  Corrected During Inspection Quaternary ammonium sanitizing solution at incorrect concentration. Sanitizer bucket too low. Corrected during inspection. 
 3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical Repeat Corrected During Inspection TCS foods not being cold held at the proper temperature. In-house (made 5/3/21) minced garlic out on counter top at 68*F- TCS foods shall be kept under refrigeration. Voluntarily discarded during inspection. Note: Observed several small batch items out on counters on ice baths- ice baths were not sufficent. Ice level needs to be as high as the rim of the food container to ensure it is kept at the proper temperature. Items shall be kept under refrigeration when not in use.  
 3717-1-06.4(K) / Controlling pests.Critical    Presence of live insects, rodents, and other pests. Observed knats/small flies in dish room areas, back kitchen area. Abate knat/fly issue. Suggest cleaning out all drains. 
 3717-1-05.1(D) / Backflow prevention - air gap.Critical    Insufficient air gap for Biggs prep sink. Correct air break to air gap. 
","
 3717-1-04.4(A)(2) / Equipment components kept intact, tight, and adjusted    Repair cooler doors near ice machine and in salad prep room downstairs so that they completely shut without being forced. Repair leak in salad room freezer from fan unit.  
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Clean and maintain clean doors of coolers/ freezer of residues- observed sticky residue on doors. Clean all fans in kitchen/wash rooms.  
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","12-Aug-2020","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=9886B544DC415F9F852585C2004E0220","
3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature. Standing coolers in wall foods reading 46 degrees F. Prep table by pizza oven foods reading 47-50 degrees F, cold plate fruit reading 42-47 degrees F. Suggested added ice to holding bins- do not use coolers until repaired and functioning at 41 degrees F or below. Foods from pizza prep removed and voluntarily discarded, foods from standing coolers moved to walk in.   
","

","Stevenson Dining Hall"
"Consultation Inspection","3-Oct-2019","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B2976792C14850BD85258490006F6A92","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","27-Sep-2019","3 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=05705CD9416EC2BC85258488004C606E","
3717-1-03.3(H) / Reheating for hot holding.Critical  Corrected During Inspection Improper reheating of food for hot holding.CCP
-Observed out of temp chicken rapidly reheated to 146 and placed in hot holding unit. 
 3717-1-03.4(F)(1)(a) / Time/temperature controlled for safety food - hot holding.Critical  Corrected During Inspection TCS foods not being hot held at the proper temperature.CCP
-Observed chicken hot holding at 115*F in the hot holding unit between kitchen and serving line. 
 3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature.CCP
-Observed sliced lunch meats at 53*F in the cold holding unit on the serving line. 
","
 3717-1-04.4(A)(2) / Equipment components kept intact, tight, and adjusted    Equipment components are not intact, tight or properly adjusted.
-Observed damaged gasket on small hot holding unit near serving line.
-Observed leaking condensate in walk-in freezer. 
","Stevenson Dining Hall"
"Complaint Inspection","16-May-2019","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=4D1703B3F65AC50A852583FC005A8E08","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","19-Mar-2019","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B3B7BC159726D278852583C200717FAD","
3717-1-03.2(U) / Food display - preventing contamination by consumers.Critical    Food display not properly protected from contamination by consumers.
-Observed jellies, butters, and cheeses in a consumer self service cooler without protection. 
","

","Stevenson Dining Hall"
"Standard/Critical Control Point Inspection","4-Oct-2018","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5E1B1E75C562C4378525831C00674876","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Stevenson Dining Hall"
"Complaint Inspection","23-Jul-2018","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=7432170FFA9F9EB0852582D30067CEF8","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Stevenson Dining Hall"
"Critical Control Point Inspection","27-Mar-2018","6 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=7FF05E1CEFA738BB8525825D0078D1E2","","","Stevenson Dining Hall"
"Standard Inspection","27-Mar-2018","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DE0EA357DB0B72E28525825D007849F6","
 3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical Repeat Corrected During Inspection Food contact surfaces were not easily cleanable, or not designed/constructed properly. Observed several plastic food containers with cracks that presented food contact surfaces that were not smooth and easily cleanable.To prevent the growth of pathogens, Multiuse food-contact surfaces shall be: (1) Smooth; (2) Free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections; (3) Free of sharp internal angles, corners, and crevices; (4) Finished to have smooth welds and joints; and (5) Except for cooking oil storage tanks, distribution lines for cooking oils, or beverage syrup lines or tubes; accessible for cleaning and inspection by one of the following methods: (a) Without being disassembled; (b) By disassembling without the use of tools; or (c) by easy disassembling with the use of handheld tools commonly available to maintenance and cleaning personnel such as screwdrivers, pliers, open-end wrenches, and Allen wrenches. PIC discarded the containers at the time of inspection.
","
3717-1-03.2(Q) / Food storage - preventing contamination from the premises.    Observed improper storage of food items. Observed boxes of frozen meats on the floor of the walk-in cooler at the time of inspection.Food shall be protected from contamination by storing the food in a clean, dry location, where it is not exposed to splash, dust, or other contamination, and at least six inches above the floor.
","Stevenson Dining Hall"
"Critical Control Point Inspection","17-Nov-2017","6 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D945588E3E2EC275852581DE00486D2C","","","Stevenson Dining Hall"
"Standard Inspection","17-Nov-2017","2 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5117796736652842852581DE0047A9CA","
3717-1-03.4(G) / Ready-to-eat, time/temperature controlled for safety food - date marking.Critical  Corrected During Inspection Refrigerated, ready-to-eat, TCS foods held refrigerated for more than 24 hours were not properly date marked. Observed no datemarking on an egg fritter dish.To prevent foodborne illness, refrigerated, ready-to-eat, TCS food held at a temperature of 41°F or less for more than 24 hours shall be clearly marked at the time of preparation or the time the original container is opened to indicate the date or day, that is a maximum of seven days, by which the food shall be consumed, sold, or discarded. The day the food is prepared or opened is day one. PIC discarded product at the time of inspection.
 3717-1-05.1(D) / Backflow prevention - air gap.Critical    Observed the air gap between a plumbing fixture and a piece of equipment that was not sufficient to prevent back siphonage of contaminated water. Observed no air gap between the effluent water pipe and the floor drain of the vegetable preparation sink at the time of inspection.To prevent contamination, an air gap between the water supply inlet and the flood level rim of the plumbing fixture, equipment, or nonfood equipment shall be at least twice the diameter of the water supply inlet and may not be less than one inch (25 millimeters).
","
 3717-1-04.4(A)(2) / Equipment components kept intact, tight, and adjusted    Equipment components are not intact, tight or properly adjusted. Observed the rubber gaskets on a reach-in cooler on the serving line to be not intact. Gaskets are impacting the cooler's seal and ambient air temperatures.Equipment components such as doors, seals, hinges, fasteners, and kick plates shall be kept intact, tight, and adjusted in accordance with manufacturer's specifications.
","Stevenson Dining Hall"
"Standard Inspection","4-May-2017","2 critical & 4 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5838FA6E2DDF5F4A85258116005F9BFD","
 3717-1-03.4(D) / Cooling - temperature and time control.Critical Repeat Corrected During Inspection TCS foods were not cooled using the proper time and temperature parameters. Observed cooked pasta and cooked lo mein in the Hussman Two Door Cooler that was prepared the day prior to the inspection (5/3/2017). Observed improper temperatures of cooked pasta (48 degrees Fahrenheit) and cooked lo mein (52 degrees Fahrenheit). Hussman Two Door Cooler was properly cold holding other foods, indicating foods did not cool properly.To prevent the growth of pathogens, cooked TCS food shall be rapidly cooled: within two hours from 135°F to 70°F, and within a total of six hours from 135°F to 41°F or less; (2) TCS food shall be cooled within 4 hours to 41°F or less if prepared from ingredients at ambient temperature, such as reconstituted foods and canned tuna; (3) TCS food received in compliance with laws allowing a temperature above 41°F during shipment from the supplier, shall be cooled within 4 hours to 41°F or less; (4) Raw eggs shall be received at 45°F or less and immediately placed in refrigerated equipment that maintains an ambient air temperature of 45°F or less. PIC discarded the cooked pasta (2 large hotel pans) and cooked lo mein (2 large hotel pans) at the time of inspection.
 3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical    Food contact surfaces were not easily cleanable, or not designed/constructed properly. Observed a cracked plastic food container on the clean rack of equipment and utensils. Plastic food container was not smooth and easily cleanable.To prevent the growth of pathogens, Multiuse food-contact surfaces shall be: (1) Smooth; (2) Free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections; (3) Free of sharp internal angles, corners, and crevices; (4) Finished to have smooth welds and joints; and (5) Except for cooking oil storage tanks, distribution lines for cooking oils, or beverage syrup lines or tubes; accessible for cleaning and inspection by one of the following methods: (a) Without being disassembled; (b) By disassembling without the use of tools; or (c) by easy disassembling with the use of handheld tools commonly available to maintenance and cleaning personnel such as screwdrivers, pliers, open-end wrenches, and Allen wrenches. Discard the plastic container. Conduct an inventory of equipment and utensils and discard items that are not smooth and easily cleanable.
","
3717-1-03.2(D) / Food storage containers - identified with common name of food.    Food storage containers are not properly labeled. Observed a bulk bin of textured vegetable protein in the dry storage room that did not contain a label with the common name of the product.Working containers holding food or food ingredients that are removed from their original packages shall be identified with the common name of the food, except containers holding food that are readily and unmistakably recognized.
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Non-food contact surfaces of equipment are dirty. Observed the hood above the pizza oven to contain build-up of dust and grease at the time of inspection.Nonfood-contact surfaces of equipment shall be kept clean. Clean the hood above the pizza oven.
 3717-1-06.2(C) / Handwashing sinks - hand drying provision.  Corrected During Inspection Observed no towels or hand drying device at the handwashing sink(s). Observed no paper towels at the handwashing sink in one of the dish areas.To prevent contamination by hands, each handwashing sink or group of adjacent handwashing sinks shall beprovided with: Individual, disposable towels; a continuous towel system that supplies the user with a clean towel; a heated-air hand drying device; or a hand drying device that employs an air-knife system that delivers high velocity, pressurized air at ambient temperatures. Employee provided paper towels to the handwashing sink.
 3717-1-06.4(D) / Cleaning ventilation systems, nuisance and discharge prohibition.    The ventilation system was not being properly cleaned. Observed the ventilation grates above the scooped ice cream area and in the dry storage area to contain a build-up of dust.Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination. If vented to the outside, ventilation systems may not create a public health hazard or nuisance or unlawful discharge. Clean ventilation grates above scooped ice cream area and in the dry storage area to prevent physical contamination of food products below.
","Stevenson Dining Hall"
"Critical Control Point Inspection","4-May-2017","5 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D47E2C05C7C54A1A8525811600610B73","","","Stevenson Dining Hall"
"Critical Control Point Inspection","9-Nov-2016","6 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A2CB8116B59CE04185258066005D842B","","","Stevenson Dining Hall"
"Standard Inspection","9-Nov-2016","2 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=12E2E6CED12F49B685258066005C1075","
3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Observed food that was not properly protected from contamination by separation, packaging, and segregation.
-Observed boxes of raw chicken stored above boxes of raw beef in the catering walk-in cooler. To prevent contamination, food shall be protected from cross contamination by separating raw animal foods during storage, preparation, holding, and display from cooked ready-to-eat food as described in this rule.
-Rearrange product so that raw poultry is stored below raw beef.
 3717-1-03.4(D) / Cooling - temperature and time control.Critical    TCS foods were not cooled using the proper time and temperature parameters.
-Observed pasta at 66°F in the walk-in cooler; food was not date or time marked for when it was cooked or when cooling had started. 
-Observed several pans of pasta stacked in the blast chiller. To prevent the growth of pathogens, cooked TCS food shall be rapidly cooled: within two hours from 135°F to 70°F, and within a total of six hours from 135°F to 41°F or less.
-Discussed proper cooling methods, including using shallow pans, ice baths, etc for manual cooling of product. 
-Discontinue stacking pans in the blast chiller so that food can cool rapidly and equipment functions as intended. 
-Unmarked pasta was voluntarily discarded by manager during inspection. Correct By: 09-Nov-2016
","
 3717-1-03.2(K) / In-use utensils - between-use storage.  Corrected During Inspection In-use utensils are improperly stored.
-Observed a paper coffee cup stored in a container of sunflower seeds. During pauses in food preparation or dispensing, food preparation and dispensing utensils shall be stored as described in this rule.
-Discontinue storing cups in ready-to-eat food product. Use utensils with handles to prevent possible contamination from hands.
 3717-1-04.8(A) / Equipment and utensils - air-drying required.    Equipment and utensils are not being air dried.
-Observed wet pans and trays stacked up and unable to air dry. After cleaning and sanitizing, equipment and utensils shall be air-dried or used after adequate draining before contact with food and utensils, and may not be cloth dried.
-Arrange pans, trays, euipment, etc to allow proper air drying. Correct By: 09-Nov-2016
","Stevenson Dining Hall"
"Critical Control Point Inspection","18-Apr-2016","7 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=34E14B875A3C007085257F99005D4DAF","","","Stevenson Dining Hall"
